,  ,  ,  ,  ,  ,  ,h ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,14  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,17  ,  ,
,  ,  ,  ,h ,  ,  ,h ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,7 ,13,  ,  ,
,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,13,  ,  ,
,  ,n ,  ,n ,  ,n ,  ,n ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,4 ,15,  ,  ,
,  ,  ,  ,  ,  ,  ,n ,  ,  ,  ,n ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,1 ,16,  ,  ,
,  ,n ,  ,  ,  ,n ,  ,n ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,  ,  ,
,  ,n ,  ,  ,  ,  ,h ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,13,  ,  ,
,  ,  ,  ,  ,  ,  ,h ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,7 ,11,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,6 ,  ,  ,  ,
,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,4 ,12,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,  ,  ,  ,
,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,7 ,13,  ,  ,
,  ,  ,  ,  ,  ,  ,h ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,13,  ,  ,
,  ,  ,  ,n ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,7 , 8,  ,  ,
,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,n ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,1 , 9,  ,  ,
,  ,n ,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,5 ,18,  ,  ,
,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,12,  ,  ,
,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,0 ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,2 ,14,  ,  ,
,  ,  ,  ,n ,  ,  ,n ,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,8 ,11,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,  ,  ,
,  ,n ,  ,n ,  ,  ,n ,  ,  ,  ,  ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,5 , 6,  ,  ,
,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,n ,  ,n ,  ,  ,  ,  ,  ,    ,  ,    ,2 ,  ,  ,  ,

 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18      l       c1 i1 c2 i2 exam
 11 18 25 2  9  16 23 30 6  13 20 27 4  11 18 25                    =8=18
 sep      oct            nov         dec                            @8

@n=14
#@n=18
@p=1
@a=3
@b=2
@c=1
@h=1

vim: set nowrap:
